Case,Size,Folder,RVE,Point_Index,True_Strain,True_Stress,Source_File
05_001_800,L=2.0um,202020,RVE3,26,0.1397619475581712,72.78877009924997,F:\1_job\20251124\CPFE_PARAMATER_TEST_PBC\1_CPFE_3DMODEL_BUILD\4_BASE_ROOT\job\202020\RVE3\05_001_800.csv
05_001_800,L=2.0um,202020,RVE3,27,0.1449657730344857,71.47531474368645,F:\1_job\20251124\CPFE_PARAMATER_TEST_PBC\1_CPFE_3DMODEL_BUILD\4_BASE_ROOT\job\202020\RVE3\05_001_800.csv
05_001_800,L=2.0um,202020,RVE3,28,0.1501426588400785,70.18080352611378,F:\1_job\20251124\CPFE_PARAMATER_TEST_PBC\1_CPFE_3DMODEL_BUILD\4_BASE_ROOT\job\202020\RVE3\05_001_800.csv
05_001_800,L=2.4um,242424,RVE1,1,0.0,0.0,F:\1_job\20251124\CPFE_PARAMATER_TEST_PBC\1_CPFE_3DMODEL_BUILD\4_BASE_ROOT\job\242424\RVE1\05_001_800.csv
05_001_800,L=2.4um,242424,RVE1,2,0.0059820717293904,104.63952239896932,F:\1_job\20251124\CPFE_PARAMATER_TEST_PBC\1_CPFE_3DMODEL_BUILD\4_BASE_ROOT\job\242424\RVE1\05_001_800.csv
05_001_800,L=2.4um,242424,RVE1,3,0.011928570968345,107.40930554825933,F:\1_job\20251124\CPFE_PARAMATER_TEST_PBC\1_CPFE_3DMODEL_BUILD\4_BASE_ROOT\job\242424\RVE1\05_001_800.csv
05_001_800,L=2.4um,242424,RVE1,4,0.0178399173671714,107.0598714684699,F:\1_job\20251124\CPFE_PARAMATER_TEST_PBC\1_CPFE_3DMODEL_BUILD\4_BASE_ROOT\job\242424\RVE1\05_001_800.csv
05_001_800,L=2.4um,242424,RVE1,5,0.0237165268210428,107.29759840148904,F:\1_job\20251124\CPFE_PARAMATER_TEST_PBC\1_CPFE_3DMODEL_BUILD\4_BASE_ROOT\job\242424\RVE1\05_001_800.csv
05_001_800,L=2.4um,242424,RVE1,6,0.0295588015905227,106.32175156064696,F:\1_job\20251124\CPFE_PARAMATER_TEST_PBC\1_CPFE_3DMODEL_BUILD\4_BASE_ROOT\job\242424\RVE1\05_001_800.csv
05_001_800,L=2.4um,242424,RVE1,7,0.0353671423414218,105.11029782290063,F:\1_job\20251124\CPFE_PARAMATER_TEST_PBC\1_CPFE_3DMODEL_BUILD\4_BASE_ROOT\job\242424\RVE1\05_001_800.csv
05_001_800,L=2.4um,242424,RVE1,8,0.0411419427877547,103.76083813432876,F:\1_job\20251124\CPFE_PARAMATER_TEST_PBC\1_CPFE_3DMODEL_BUILD\4_BASE_ROOT\job\242424\RVE1\05_001_800.csv
05_001_800,L=2.4um,242424,RVE1,9,0.046883586296973,102.3044012971497,F:\1_job\20251124\CPFE_PARAMATER_TEST_PBC\1_CPFE_3DMODEL_BUILD\4_BASE_ROOT\job\242424\RVE1\05_001_800.csv
05_001_800,L=2.4um,242424,RVE1,10,0.0525924514481166,100.7593056463673,F:\1_job\20251124\CPFE_PARAMATER_TEST_PBC\1_CPFE_3DMODEL_BUILD\4_BASE_ROOT\job\242424\RVE1\05_001_800.csv
05_001_800,L=2.4um,242424,RVE1,11,0.0582689068587828,99.13733664085044,F:\1_job\20251124\CPFE_PARAMATER_TEST_PBC\1_CPFE_3DMODEL_BUILD\4_BASE_ROOT\job\242424\RVE1\05_001_800.csv
05_001_800,L=2.4um,242424,RVE1,12,0.063913325408167,97.44872785760457,F:\1_job\20251124\CPFE_PARAMATER_TEST_PBC\1_CPFE_3DMODEL_BUILD\4_BASE_ROOT\job\242424\RVE1\05_001_800.csv
