Case,Size,Folder,Grid_Index,True_Strain,RVE1_Stress,RVE2_Stress,RVE3_Stress,Mean_Stress,Std_Stress,Min_Stress,Max_Stress,Experiment_Stress,Relative_Error_pct
07_01_500,L=2.0um,202020,67,0.030832374581939798,704.6903330294971,691.614706298002,684.7240203703585,693.6763532326191,10.141558132894646,684.7240203703585,704.6903330294971,686.0352089550686,1.1138122617918003
07_01_500,L=2.0um,202020,68,0.03129953177257525,705.2161082244028,691.800663960987,685.1308283018226,694.0492001624042,10.229689813426075,685.1308283018226,705.2161082244028,686.3067434455008,1.1281335628488067
07_01_500,L=2.0um,202020,69,0.0317666889632107,705.7418834193085,691.986621623972,685.5376362332867,694.4220470921891,10.31995029042764,685.5376362332867,705.7418834193085,686.5782779359332,1.1424435360577843
07_01_500,L=2.0um,202020,70,0.032233846153846155,706.267658614214,692.172579286957,685.9444441647508,694.794894021974,10.412284202653744,685.9444441647508,706.267658614214,686.8498124263655,1.156742194853587
07_01_500,L=2.0um,202020,71,0.0327010033444816,706.7934338091197,692.3585369499419,686.3512520962149,695.1677409517588,10.506636885260818,686.3512520962149,706.7934338091197,686.9288719493405,1.1993773065671716
07_01_500,L=2.0um,202020,72,0.03316816053511706,707.3192090040254,692.5444946129269,686.758060027679,695.5405878815437,10.602954444991571,686.758060027679,707.3192090040254,686.9704440460133,1.2475273004549214
07_01_500,L=2.0um,202020,73,0.033635317725752505,707.8449841989311,692.730452275912,687.1648679591431,695.9134348113288,10.701183826491462,687.1648679591431,707.8449841989311,687.012016142686,1.2956714670903315
07_01_500,L=2.0um,202020,74,0.03410247491638796,708.3707593938368,692.9164099388969,687.5716758906073,696.2862817411137,10.80127287018112,687.5716758906073,708.3707593938368,687.0535882393588,1.3438098075311178
07_01_500,L=2.0um,202020,75,0.03456963210702341,708.8965345887425,693.1023676018818,687.9784838220713,696.6591286708986,10.90317036213838,687.9784838220713,708.8965345887425,687.1539941468137,1.3832611910939456
07_01_500,L=2.0um,202020,76,0.03503678929765886,709.4223097836482,693.2883252648669,688.3852917535354,697.0319756006835,11.006826076461254,688.3852917535354,709.4223097836482,687.4462650442816,1.3943941575978165
07_01_500,L=2.0um,202020,77,0.035503946488294316,709.9000789244467,693.4472565143758,688.7445895276544,697.3639749888256,11.108294000904019,688.7445895276544,709.9000789244467,687.7385359417497,1.3995782618019805
07_01_500,L=2.0um,202020,78,0.035971103678929764,710.2619236107904,693.5409246987078,688.9891603329834,697.5973362141605,11.201494103708967,688.9891603329834,710.2619236107904,688.0308068392176,1.3904216613339004
07_01_500,L=2.0um,202020,79,0.03643826086956522,710.6237682971342,693.6345928830399,689.2337311383124,697.8306974394955,11.295525330876641,689.2337311383124,710.6237682971342,688.3230777366855,1.38127283688824
07_01_500,L=2.0um,202020,80,0.036905418060200666,710.9856129834781,693.7282610673718,689.4783019436413,698.0640586648304,11.390367098810577,689.4783019436413,710.9856129834781,688.5892131986354,1.3759793625262358
07_01_500,L=2.0um,202020,81,0.03737257525083612,711.3474576698218,693.8219292517039,689.7228727489703,698.2974198901653,11.485999329226706,689.7228727489703,711.3474576698218,688.8354836218953,1.3736133653451204
07_01_500,L=2.0um,202020,82,0.03783973244147157,711.7093023561656,693.9155974360359,689.9674435542993,698.5307811155003,11.582402442346265,689.9674435542993,711.7093023561656,689.081754045155,1.3712490593280366
07_01_500,L=2.0um,202020,83,0.03830688963210702,712.0711470425094,694.009265620368,690.2120143596283,698.7641423408353,11.679557349578031,690.2120143596283,712.0711470425094,689.3280244684148,1.368886442662371
