Case,Size,Folder,Sample_Index,True_Strain,RVE1_Stress,RVE2_Stress,RVE3_Stress,Mean_Stress,Errorbar_Lower,Errorbar_Upper,Experiment_Stress,Relative_Error_pct
07_01_500,L=1.6um,161616,3,0.090792,642.0086358791594,723.3796184424114,704.6897332467878,690.0259958561196,42.62133381915826,42.62133381915826,703.6929166999296,1.9421711544153366
07_01_500,L=1.6um,161616,4,0.118728,634.4537057947986,713.6291254062935,692.554191701228,680.21234096744,41.005215855003144,41.005215855003144,695.3320305133998,2.174456070259861
07_01_500,L=2.0um,202020,1,0.03492,709.2908659849218,693.2418358491207,688.2835897706694,696.9387638682373,10.98075002307994,10.98075002307994,687.3731973199147,1.3916118035470426
07_01_500,L=2.0um,202020,2,0.062856,721.2476697225615,693.8819013017768,694.1403604207687,703.089977148369,15.725554044077768,15.725554044077768,696.5626421445947,0.9370779609537713
07_01_500,L=2.0um,202020,3,0.090792,719.309488917721,687.7272012990585,688.4698116228608,698.5021672798799,18.023494190324897,18.023494190324897,703.6929166999296,0.7376441195958645
07_01_500,L=2.0um,202020,4,0.118728,711.901758891602,679.1464821670215,678.7002894172907,689.9161768253048,19.041379574177277,19.041379574177277,695.3320305133998,0.778887416432723
07_01_500,L=2.4um,242424,1,0.03492,736.6315302952078,746.8564688001428,753.3961457066894,745.6280482673466,8.449547042757263,8.449547042757263,687.3731973199147,8.474995995562388
07_01_500,L=2.4um,242424,2,0.062856,744.0811180757458,752.8648587710139,755.9657997555865,750.9705922007821,6.164624809111146,6.164624809111146,696.5626421445947,7.810919903581793
07_01_500,L=2.4um,242424,3,0.090792,735.4100642036504,742.4033681324667,743.5627331299391,740.4587218220187,4.410526001507338,4.410526001507338,703.6929166999296,5.224694500906402
07_01_500,L=2.4um,242424,4,0.118728,721.2641927209305,727.3029771325088,726.6318946396563,725.0663548310318,3.3098210618809842,3.3098210618809842,695.3320305133998,4.276277089619711
10_01_800,L=1.6um,161616,1,0.0348775,136.45029472340718,156.32521876564365,154.38039953238226,149.05197100714437,10.956608249480949,10.956608249480949,151.47382417910447,1.598859198996961
10_01_800,L=1.6um,161616,2,0.0627795,131.69619387761477,146.77725511263185,144.37467875324958,140.94937591449875,8.103031941591347,8.103031941591347,136.6677405,3.132879345801972
10_01_800,L=1.6um,161616,3,0.0906815,125.94852496356259,135.79484584961725,131.91383893058855,131.21906991458945,4.959792005415478,4.959792005415478,136.9012788630137,4.150588654551555
10_01_800,L=1.6um,161616,4,0.1185835,119.53085007929366,124.0117104665679,116.65539492627413,120.06598515737856,3.7072391001848852,3.7072391001848852,131.91406463043478,8.981665075857777
10_01_800,L=2.0um,202020,1,0.0348775,155.9271480005104,147.7328018870133,147.77948271855337,150.47981086869234,4.717590078183048,4.717590078183048,151.47382417910447,0.6562277778349317
10_01_800,L=2.0um,202020,2,0.0627795,146.1755038459934,139.5455364519028,140.14904936608903,141.95669655466176,3.6660343943343316,3.6660343943343316,136.6677405,3.869937437548953
10_01_800,L=2.0um,202020,3,0.0906815,134.10773703111835,130.11960836926488,130.3081042074163,131.51181653593318,2.2501077936938736,2.2501077936938736,136.9012788630137,3.93675089951009
10_01_800,L=2.0um,202020,4,0.1185835,121.6062914526758,120.27416430301658,119.25291796769903,120.37779124113047,1.1801040617992442,1.1801040617992442,131.91406463043478,8.745294462439528
10_01_800,L=2.4um,242424,1,0.0348775,160.44910085619594,163.04564684636202,162.52462611993215,162.00645794083005,1.3736398604209858,1.3736398604209858,151.47382417910447,6.953434904549359
10_01_800,L=2.4um,242424,2,0.0627795,149.26688234378435,151.77582294537171,151.8014108431709,150.94803871077565,1.4559803339451451,1.4559803339451451,136.6677405,10.448916590360723
10_01_800,L=2.4um,242424,3,0.0906815,135.31699704921186,137.7625647962164,138.30395312408794,137.12783832317209,1.5914254365182317,1.5914254365182317,136.9012788630137,0.16549112034599667
10_01_800,L=2.4um,242424,4,0.1185835,120.55156378969397,122.99756962800392,123.45718802918056,122.33544048229281,1.5618816566798788,1.5618816566798788,131.91406463043478,7.261260711643647
11_06_20,L=1.6um,161616,1,0.0296675,996.116939386207,1151.5122270631343,1063.6996594480454,1070.4429419657956,77.91680019343963,77.91680019343963,1141.067565860585,6.189346363685736
11_06_20,L=1.6um,161616,2,0.0534015,1033.2235327139229,1198.2107317386187,1150.9635843605279,1127.4659496043564,84.96645273197227,84.96645273197227,1157.1450823371479,2.5648583903452216
11_06_20,L=1.6um,161616,3,0.0771355,1047.7664951927336,1218.2433060561273,1191.7641573041342,1152.591319517665,91.74131662300304,91.74131662300304,1172.977034272973,1.7379466229655052
11_06_20,L=1.6um,161616,4,0.1008695,1054.1897199315063,1228.2937895716484,1211.421407334242,1164.6349722791322,96.01970967040764,96.01970967040764,1188.12449877256,1.9770256835621673
11_06_20,L=2.0um,202020,1,0.0296675,1100.9206391501043,1087.4290192780784,1079.3655051221697,1089.2383878501175,10.890882044750477,10.890882044750477,1141.067565860585,4.54216556154397
11_06_20,L=2.0um,202020,2,0.0534015,1174.7604887215462,1131.847917728007,1148.6928738387267,1151.7670934294265,21.620830393113234,21.620830393113234,1157.1450823371479,0.46476357976297683
11_06_20,L=2.0um,202020,3,0.0771355,1214.3646189379967,1152.7291333925066,1181.6968368818912,1182.9301964041315,30.836247362323565,30.836247362323565,1172.977034272973,0.8485385340325595
